project_id,start_date,end_date,duration_days,budget,spend,team_size,risk_score,satisfaction_rating,high_satisfaction
85,2022-08-19,2023-01-07,141,57155.83,78197.31,8,1,7.2,1
86,2024-10-14,2025-07-25,284,21979.25,14883.24,19,5,9.16,1
87,2022-02-10,2023-01-08,332,44639.41,53238.12,8,5,6.0,0
88,2024-11-17,2025-07-11,236,182003.36,243541.48,24,1,8.2,1
89,2022-05-15,2023-01-28,258,177300.21,256130.4,14,5,5.37,0
90,2022-07-20,2022-10-23,95,127534.36,150904.78,28,1,8.62,1
91,2024-02-19,2024-06-02,104,128093.03,127731.14,26,4,8.34,1
92,2024-07-18,2024-11-27,132,139706.6,156170.64,7,3,7.77,1
93,2024-11-22,2025-07-01,221,51566.83,70590.09,9,1,8.11,1
94,2024-12-07,2025-09-14,281,184594.15,197628.3,10,2,8.17,1
95,2023-05-18,2024-01-28,255,95378.69,50587.62,25,1,10.0,1
96,2023-02-11,2023-12-31,323,88964.94,127304.26,26,5,5.07,0
97,2024-03-15,2025-02-13,335,113405.19,134898.51,12,4,6.2,0
98,2022-04-09,2022-08-14,127,28453.87,33476.36,11,4,6.95,0
99,2023-11-15,2024-09-25,315,49931.01,35734.38,25,1,10.0,1
100,2023-12-27,2024-12-25,364,152846.05,177131.07,14,3,7.54,1
101,2024-08-18,2025-07-21,337,34903.76,31199.23,10,2,9.65,1
102,2023-09-05,2024-06-09,278,128567.38,148011.01,18,4,7.79,1
103,2023-10-05,2024-04-17,195,64162.84,38920.73,8,5,9.37,1
104,2024-10-25,2025-10-24,364,90073.21,104290.84,29,5,6.36,0
105,2023-05-18,2023-07-16,59,71964.87,107905.11,17,3,5.44,0
106,2024-02-06,2024-11-08,276,84021.09,46061.37,24,4,10.0,1
107,2023-02-02,2023-06-17,135,149428.26,220731.57,21,1,6.17,0
108,2024-05-20,2024-08-08,80,73481.91,66641.33,27,5,7.6,1
109,2024-03-05,2024-06-23,110,121952.84,167167.28,11,3,7.27,1
110,2023-01-28,2023-07-09,162,105689.07,135534.13,8,4,6.18,0
111,2022-07-26,2023-06-05,314,139460.81,148806.95,18,4,7.98,1
112,2024-11-04,2025-04-20,167,188629.35,233607.87,7,4,6.19,0
113,2024-06-10,2025-01-09,213,151862.98,209345.48,28,4,6.99,0
114,2024-05-13,2025-05-07,359,58689.27,53063.34,9,4,9.4,1
115,2024-01-13,2024-11-10,302,25612.96,21182.77,20,5,8.66,1
116,2023-07-18,2023-10-24,98,67207.53,78471.07,27,3,8.66,1
117,2024-10-17,2024-12-19,63,127114.03,166245.57,24,4,6.64,0
118,2022-04-06,2023-01-22,291,29256.65,36930.23,8,2,8.07,1
119,2023-04-30,2023-07-21,82,109345.92,141910.63,28,2,8.14,1
120,2022-08-19,2023-04-10,234,127431.71,119222.98,28,3,8.91,1
121,2024-01-19,2024-06-22,155,80163.9,105642.73,6,1,7.13,1
122,2023-06-25,2024-03-15,264,158764.2,98466.99,22,1,10.0,1
123,2024-11-25,2025-02-05,72,39187.69,40931.11,23,1,9.04,1
124,2023-06-09,2024-03-04,269,33524.8,16955.46,23,2,10.0,1
125,2023-08-01,2023-12-19,140,151073.98,124573.46,21,1,10.0,1
126,2023-11-13,2024-08-17,278,109188.44,94607.58,18,5,8.45,1
127,2023-07-11,2024-01-07,180,143912.43,128970.39,23,4,8.59,1
128,2024-10-09,2025-05-09,212,98268.92,117477.27,26,2,8.34,1
129,2023-10-08,2024-02-09,124,64352.37,57180.82,28,3,8.7,1
130,2024-03-06,2024-04-12,37,167438.42,158847.76,17,3,8.74,1
131,2024-11-17,2025-06-18,213,163894.86,120879.69,16,4,9.74,1
132,2022-07-09,2023-05-15,310,145045.36,126661.12,10,2,10.0,1
133,2023-09-25,2024-05-06,224,68986.12,50171.51,25,1,10.0,1
134,2023-09-20,2024-05-01,224,126241.52,72361.12,8,1,10.0,1
135,2024-08-30,2025-03-02,184,84975.3,93765.88,23,5,7.4,1
136,2023-12-11,2024-04-11,122,36484.77,42621.98,20,5,7.65,1
137,2023-10-11,2024-04-17,189,185116.44,207236.07,17,1,8.57,1
138,2022-11-14,2023-02-12,90,44627.35,42998.19,8,3,9.0,1
139,2023-11-15,2024-04-14,151,191042.72,168076.67,27,3,9.49,1
140,2023-10-26,2024-01-14,80,100281.04,136716.52,21,5,6.41,0
141,2023-03-18,2024-01-18,306,53323.93,54341.45,27,4,7.34,1
142,2023-07-18,2023-08-21,34,117542.17,115095.16,5,1,9.13,1
143,2024-08-09,2024-12-08,121,177130.25,93107.11,22,5,9.88,1
144,2023-11-30,2024-06-16,199,151800.48,127701.82,24,5,8.48,1
145,2022-04-23,2023-04-04,346,165181.01,145391.6,21,1,10.0,1
146,2022-01-02,2022-02-22,51,138581.01,124559.77,19,1,10.0,1
147,2023-10-04,2024-09-23,355,144609.78,156203.49,15,3,8.02,1
148,2022-08-08,2022-09-07,30,172855.22,178663.6,29,4,8.04,1
149,2024-05-04,2024-10-13,162,64940.24,71947.62,26,4,7.61,1
150,2023-01-20,2023-10-09,262,108096.49,136729.44,17,1,9.05,1
151,2024-12-12,2025-01-22,41,59817.7,78539.79,5,2,7.52,1
152,2023-12-31,2024-03-15,75,197780.24,240920.67,21,5,6.22,0
153,2022-09-04,2022-11-06,63,189930.68,276448.61,10,5,5.45,0
154,2024-04-15,2024-07-31,107,27096.83,14042.46,8,1,10.0,1
155,2022-07-22,2023-03-26,247,147003.53,102281.82,24,2,9.74,1
156,2022-05-03,2023-03-29,330,186544.7,94683.16,20,3,10.0,1
157,2023-02-05,2023-05-18,102,52503.56,60246.51,19,1,8.71,1
158,2024-02-06,2024-12-13,311,122230.14,170881.47,19,1,7.24,1
159,2022-10-21,2023-07-26,278,184787.89,137386.52,10,5,9.3,1
160,2022-10-07,2022-12-22,76,26110.28,37260.27,19,1,6.97,0
161,2024-06-02,2024-10-30,150,145535.65,81538.88,18,1,10.0,1
162,2022-07-17,2023-03-17,243,73522.82,105463.78,15,1,7.25,1
163,2024-09-08,2025-06-03,268,186391.32,158735.08,11,5,8.3,1
164,2024-01-22,2024-04-16,85,194790.48,117151.05,13,3,10.0,1
165,2022-05-24,2022-10-07,136,189967.97,187284.06,20,3,7.92,1
166,2023-09-01,2024-08-14,348,105358.56,79732.89,9,1,10.0,1
167,2022-07-06,2022-09-21,77,175167.68,137484.37,29,5,9.72,1
168,2023-04-09,2023-07-08,90,172018.89,138869.12,24,3,8.69,1
169,2023-10-22,2023-12-16,55,77438.09,100903.84,14,3,6.96,0
170,2024-02-03,2024-12-20,321,169204.79,175831.07,22,3,8.87,1
171,2024-08-12,2025-05-25,286,26661.37,21630.57,7,5,8.59,1
172,2023-02-07,2023-03-16,37,127328.58,141377.22,17,5,7.29,1
173,2022-05-27,2022-10-16,142,61401.59,74673.59,15,1,7.23,1
174,2024-05-13,2025-02-19,282,41702.04,32220.0,21,4,9.44,1
175,2023-05-04,2023-11-29,209,33851.58,30925.08,26,3,8.55,1
176,2024-07-17,2025-03-10,236,145331.98,90379.94,17,4,10.0,1
177,2023-07-05,2024-06-01,332,81177.49,55293.99,10,5,9.08,1
178,2022-12-04,2023-05-09,156,150458.02,177708.65,21,5,7.73,1
179,2024-05-21,2024-08-14,85,31764.14,21645.3,17,5,9.37,1
180,2023-10-03,2024-06-02,243,76752.26,78683.61,23,4,7.82,1
181,2023-04-18,2023-05-31,43,117108.43,141589.51,25,5,5.7,0
182,2022-05-31,2022-07-27,57,162330.17,98514.43,23,1,10.0,1
183,2022-09-20,2023-01-05,107,77375.45,82583.76,14,5,7.58,1
184,2022-05-24,2023-01-24,245,132660.45,100365.96,7,2,10.0,1
185,2022-12-12,2023-06-13,183,179475.99,262560.25,18,4,5.43,0
186,2023-09-16,2023-10-29,43,130855.37,128702.23,23,2,8.8,1
187,2024-10-13,2025-05-17,216,61932.71,80883.66,9,5,6.24,0
188,2024-05-30,2025-05-06,341,24392.14,25617.27,9,1,9.63,1
189,2022-01-02,2022-02-07,36,176617.8,95976.33,24,3,10.0,1
190,2024-06-15,2024-07-17,32,23828.49,27001.29,21,5,6.34,0
191,2022-09-11,2023-01-29,140,177446.3,257546.15,25,1,7.51,1
192,2023-03-29,2023-12-21,267,115208.68,126915.24,14,4,7.43,1
193,2024-11-26,2025-08-21,268,189032.19,249369.16,9,2,7.36,1
194,2024-10-11,2025-08-10,303,163780.98,226706.69,8,2,7.28,1
195,2022-01-09,2022-11-28,323,199628.14,145345.21,10,2,10.0,1
196,2024-03-26,2024-12-07,256,83128.13,59190.96,8,4,9.7,1
197,2022-07-27,2022-09-09,44,158093.89,175639.31,11,1,8.42,1
198,2023-02-08,2023-09-17,221,92347.56,84131.26,11,4,8.07,1
199,2022-06-01,2022-10-27,148,106377.61,142531.24,22,2,8.04,1
200,2022-02-23,2022-04-21,57,132950.98,186134.45,7,5,5.39,0
201,2023-09-20,2024-05-08,231,177261.88,151279.08,5,3,9.39,1
202,2023-08-10,2023-10-17,68,197135.02,145262.99,28,4,9.84,1
203,2022-04-14,2023-02-10,302,158289.21,202693.37,29,4,6.83,0
204,2022-09-11,2023-05-29,260,95198.02,73760.0,8,1,10.0,1
205,2023-05-25,2023-09-17,115,95844.26,126764.99,10,1,8.33,1
206,2022-04-09,2022-09-11,155,152764.81,141114.7,13,4,7.32,1
207,2022-06-02,2023-04-27,329,62979.89,73532.16,26,2,7.92,1
208,2024-07-02,2024-08-25,54,39885.34,23753.13,18,3,10.0,1
209,2024-05-27,2024-11-17,174,83831.99,94215.36,16,1,9.57,1
210,2022-12-04,2023-01-15,42,71703.02,68244.62,29,2,9.27,1
211,2024-04-01,2024-11-28,241,73335.46,79686.93,24,5,6.64,0
212,2024-08-14,2024-10-07,54,62049.4,41449.88,28,1,10.0,1
213,2022-06-10,2022-09-15,97,27576.77,34108.98,29,2,8.26,1
214,2024-03-11,2024-06-15,96,23217.31,31640.48,8,2,7.08,1
215,2023-02-02,2023-10-22,262,197790.03,141763.99,25,3,9.91,1
216,2024-03-26,2024-08-11,138,96999.16,57783.81,28,3,10.0,1
217,2023-02-05,2023-07-30,175,89178.8,46697.46,16,5,8.43,1
218,2023-10-02,2024-02-19,140,142336.51,162544.24,14,2,9.29,1
219,2024-11-22,2025-08-06,257,59285.7,65634.84,26,2,8.1,1
220,2023-11-19,2024-04-07,140,190993.01,199911.89,11,3,8.39,1
221,2023-04-05,2023-06-07,63,161542.1,118240.27,7,1,9.99,1
222,2024-08-12,2024-12-30,140,36093.98,32156.34,27,1,9.83,1
223,2023-04-15,2024-02-02,293,95164.54,104155.34,18,4,8.15,1
224,2024-11-11,2025-08-03,265,178241.3,177665.02,28,3,7.56,1
225,2024-01-20,2024-05-11,112,190051.76,282756.26,14,4,6.12,0
226,2022-02-07,2022-04-19,71,104132.27,66273.92,20,3,10.0,1
227,2022-08-18,2022-12-26,130,130414.05,155863.64,20,5,6.77,0
228,2023-07-17,2023-08-21,35,50066.11,45275.72,26,2,9.81,1
229,2023-03-14,2023-10-09,209,198410.35,184164.41,14,5,8.08,1
230,2022-01-27,2022-12-04,311,61700.91,75126.89,29,3,6.98,0
231,2022-08-14,2023-07-29,349,189691.72,226195.26,17,2,7.86,1
232,2024-03-08,2024-11-18,255,136936.4,204207.23,10,1,6.31,0
233,2022-10-11,2023-09-20,344,129392.62,81309.58,16,1,10.0,1
234,2024-05-28,2025-02-10,258,112283.93,67831.81,13,4,10.0,1
235,2024-08-17,2025-07-01,318,61520.57,75322.02,17,3,6.47,0
236,2023-03-29,2023-09-24,179,51775.05,55833.54,8,3,7.73,1
237,2024-10-16,2025-08-18,306,59687.52,46207.73,28,1,10.0,1
238,2024-03-26,2024-11-08,227,53558.89,31033.06,15,5,9.69,1
239,2023-10-21,2024-01-28,99,160325.21,93895.78,24,2,10.0,1
240,2023-07-01,2023-11-19,141,83022.55,115749.28,22,5,5.45,0
241,2024-12-08,2025-01-10,33,30411.68,21040.85,15,5,8.88,1
242,2022-01-17,2023-01-12,360,194438.47,160095.11,29,1,10.0,1
243,2022-06-07,2023-05-20,347,179081.46,130130.69,25,1,10.0,1
244,2023-04-22,2023-08-24,124,186995.41,159880.38,8,1,10.0,1
245,2024-12-05,2025-06-04,181,199083.41,113362.84,22,4,10.0,1
246,2023-06-02,2024-05-07,340,51301.14,52278.93,5,5,7.9,1
247,2022-04-09,2022-09-22,166,91323.56,51836.4,11,3,10.0,1
248,2024-11-26,2025-08-29,276,156482.93,203483.6,10,2,7.1,1
249,2022-10-07,2023-07-06,272,145283.71,106596.41,19,4,9.7,1
250,2023-05-12,2023-07-11,60,47701.26,49609.88,22,3,7.49,1
251,2022-10-29,2023-01-06,69,166849.96,230266.14,28,5,5.65,0
252,2022-06-30,2023-03-15,258,60399.3,69512.19,15,1,8.59,1
253,2023-08-30,2023-11-03,65,60287.17,62274.1,24,5,6.63,0
254,2023-12-01,2024-08-09,252,116655.4,96162.98,28,2,9.41,1
255,2024-09-19,2024-10-24,35,126729.19,105565.66,19,4,8.78,1
256,2022-07-10,2023-06-26,351,124415.52,145502.33,20,4,7.67,1
257,2022-09-10,2023-05-17,249,36467.63,54487.72,11,2,6.2,0
258,2024-09-07,2024-12-20,104,177942.96,206741.1,25,3,8.3,1
259,2024-07-16,2024-08-18,33,67808.01,71726.19,14,3,8.24,1
260,2022-05-08,2023-05-07,364,43312.69,53302.78,16,4,7.5,1
261,2022-01-18,2022-06-30,163,179974.65,173712.54,28,4,7.87,1
262,2023-07-20,2023-12-14,147,192017.27,107557.0,18,1,10.0,1
263,2023-07-24,2023-11-24,123,175182.97,186096.31,29,3,8.37,1
264,2023-11-17,2024-02-16,91,165712.89,241547.3,9,2,6.62,0
265,2023-09-18,2024-04-28,223,137943.56,93153.69,25,3,10.0,1
266,2024-05-03,2025-05-02,364,119154.33,141794.24,22,1,7.45,1
267,2024-08-19,2025-04-08,232,35657.62,24993.63,9,4,10.0,1
268,2022-06-04,2022-07-29,55,93521.58,96872.24,7,4,8.25,1
269,2023-05-05,2023-11-23,202,87083.93,51960.93,27,1,10.0,1
270,2024-02-24,2025-01-18,329,66755.68,63442.66,9,2,8.97,1
271,2022-09-03,2023-02-12,162,150215.62,188695.35,28,4,6.29,0
272,2024-11-28,2025-11-18,355,109257.63,92603.66,21,5,8.58,1
273,2024-01-29,2024-06-24,147,34588.32,40292.34,23,4,7.67,1
274,2023-06-22,2024-06-09,353,59632.98,77251.54,23,5,5.94,0
275,2024-07-09,2025-05-09,304,142986.58,204067.28,29,1,7.92,1
276,2023-02-12,2023-10-11,241,33703.55,24760.05,25,1,10.0,1
277,2023-06-09,2024-02-18,254,173217.24,155777.02,16,4,7.96,1
278,2024-04-07,2024-05-26,49,109126.37,71195.79,29,3,10.0,1
279,2024-06-21,2024-11-10,142,106505.58,158957.82,13,5,5.33,0
280,2022-02-05,2022-07-24,169,126633.4,180705.98,5,2,7.56,1
281,2023-11-16,2024-01-31,76,168442.57,175173.05,22,4,7.37,1
282,2022-01-20,2022-02-19,30,82605.66,110859.55,25,2,6.83,0
283,2022-11-17,2023-03-16,119,142042.91,145019.84,8,4,7.72,1
284,2023-05-27,2023-11-14,171,121831.75,136888.41,14,3,7.47,1
285,2023-02-04,2024-01-19,349,68065.09,40098.81,29,3,10.0,1
286,2023-10-16,2023-12-22,67,178153.4,223630.69,11,3,6.85,0
287,2024-08-29,2025-07-17,322,163536.68,102654.18,26,3,9.78,1
288,2023-04-16,2023-10-01,168,138521.33,183688.65,27,1,7.94,1
289,2024-04-13,2025-04-10,362,173104.71,221925.1,5,1,7.44,1
290,2023-12-28,2024-10-11,288,176112.96,212875.61,21,5,5.56,0
291,2024-05-03,2024-11-09,190,147505.34,79086.52,28,2,10.0,1
292,2022-02-20,2022-09-15,207,170662.4,137063.81,6,4,8.11,1
293,2023-07-29,2023-09-06,39,145544.86,111067.11,15,4,9.57,1
294,2022-05-30,2023-03-16,290,142425.34,122505.22,13,1,9.5,1
295,2022-11-10,2023-04-26,167,131350.05,77186.9,11,4,8.94,1
296,2023-07-24,2024-02-10,201,155489.0,223431.13,26,1,7.17,1
297,2022-11-01,2022-12-13,42,48548.92,51160.96,21,5,7.3,1
298,2023-11-13,2024-05-28,197,178556.74,143831.79,21,2,10.0,1
299,2024-04-17,2024-09-23,159,176931.83,158704.58,6,5,8.1,1
300,2024-12-13,2025-04-05,113,25264.51,23930.61,10,3,8.23,1
301,2024-09-29,2025-09-14,350,168647.02,185611.95,18,3,8.35,1
302,2023-03-20,2024-03-02,348,43196.58,43873.88,10,3,8.9,1
303,2023-09-05,2024-01-13,130,80321.39,114007.54,6,5,4.8,0
304,2024-09-19,2025-09-12,358,153831.49,153364.38,5,4,7.92,1
305,2022-09-21,2023-07-20,302,48936.78,73021.41,14,2,6.4,0
306,2024-12-12,2025-10-02,294,167234.06,226004.28,25,3,6.85,0
307,2024-09-30,2024-12-06,67,169784.15,120293.86,9,3,9.85,1
308,2022-01-05,2022-05-08,123,111344.19,159288.47,6,3,6.31,0
309,2024-02-13,2024-06-16,124,21149.46,13035.82,26,2,10.0,1
310,2024-05-26,2025-04-25,334,71666.86,94417.48,20,3,6.36,0
311,2024-09-18,2024-12-25,98,131046.85,115402.91,29,2,9.97,1
312,2024-06-02,2025-05-15,347,196613.51,270928.37,6,3,7.18,1
313,2022-02-16,2022-11-08,265,133726.43,182945.34,14,5,6.48,0
314,2024-05-16,2025-05-14,363,66764.64,87189.64,6,5,4.9,0
315,2024-04-02,2024-09-15,166,134121.03,173020.21,20,2,7.46,1
316,2024-07-24,2024-11-06,105,117197.37,94306.28,20,5,7.49,1
317,2023-10-18,2023-12-21,64,160372.17,93163.29,23,2,9.88,1
318,2022-09-26,2022-10-26,30,39256.51,35447.85,11,5,8.06,1
319,2023-01-05,2023-11-26,325,156985.02,105733.26,26,5,8.93,1
320,2023-09-28,2024-09-11,349,117427.98,140320.69,16,2,8.18,1
321,2023-10-19,2024-01-16,89,193338.56,163583.7,28,4,9.01,1
322,2022-04-30,2023-04-14,349,81536.99,120316.81,19,5,5.75,0
323,2024-04-10,2025-04-02,357,133871.94,152744.15,12,3,7.82,1
324,2024-12-17,2025-10-09,296,187765.06,248315.64,10,4,7.85,1
325,2024-01-11,2024-09-25,258,38451.75,24321.68,14,2,10.0,1
326,2022-04-27,2023-02-20,299,188701.13,257013.67,7,4,7.11,1
327,2024-03-01,2025-02-09,345,143819.43,204620.13,23,1,6.22,0
328,2024-10-09,2025-08-20,315,32210.67,31793.93,21,1,10.0,1
329,2024-12-17,2025-11-02,320,74173.44,82054.59,11,5,6.88,0
330,2023-09-26,2024-05-25,242,147470.98,186522.74,25,5,5.2,0
331,2023-05-28,2023-12-08,194,32123.11,21677.92,24,3,10.0,1
332,2024-03-12,2024-04-15,34,124790.68,125110.9,8,4,7.84,1
333,2023-07-14,2023-10-29,107,82258.95,73923.08,18,1,10.0,1
334,2023-05-03,2023-08-02,91,131764.79,85169.33,24,5,9.77,1
335,2024-06-15,2024-11-23,161,28233.57,24493.59,26,4,7.92,1
336,2023-12-05,2024-04-01,118,176876.63,100496.4,19,5,10.0,1
337,2023-08-04,2024-04-26,266,195228.01,102653.21,28,5,9.87,1
338,2024-02-29,2024-05-10,71,194398.01,123475.06,12,1,10.0,1
339,2024-05-10,2024-09-05,118,154937.33,226691.15,25,1,7.08,1
340,2022-09-04,2023-07-26,325,43415.52,45565.87,19,5,7.02,1
341,2022-06-03,2023-05-26,357,156487.38,229382.67,26,2,6.68,0
342,2024-09-23,2025-08-13,324,24425.64,22776.86,24,5,7.89,1
343,2023-11-28,2024-04-09,133,23982.24,19469.17,18,5,8.11,1
344,2024-12-28,2025-02-09,43,78249.84,78730.44,13,3,8.22,1
345,2024-12-06,2025-10-19,317,107955.77,101425.71,12,3,8.19,1
346,2024-10-05,2025-05-01,208,158673.34,96102.84,21,3,10.0,1
347,2022-04-04,2022-09-05,154,142993.17,163130.37,6,2,8.63,1
348,2024-08-15,2024-10-06,52,100262.49,71791.77,29,2,10.0,1
349,2024-10-08,2025-01-08,92,69252.8,77534.6,28,5,7.41,1
350,2023-03-29,2023-09-17,172,199482.41,229444.89,7,3,7.66,1
351,2024-06-30,2024-12-29,182,96712.63,63059.04,12,2,10.0,1
352,2022-08-06,2023-01-27,174,101249.66,56836.46,16,1,10.0,1
353,2023-04-19,2023-12-29,254,49452.29,63336.59,5,5,5.76,0
354,2023-03-08,2024-02-09,338,163065.72,156510.55,14,4,8.08,1
355,2022-12-07,2023-04-19,133,144862.8,80857.17,24,5,10.0,1
356,2023-07-05,2023-11-15,133,59738.53,89301.12,7,4,4.95,0
357,2022-12-23,2023-03-01,68,34828.59,19426.71,10,3,10.0,1
358,2022-01-23,2022-09-07,227,142489.87,170280.41,11,4,7.0,1
359,2023-06-06,2023-11-16,163,137812.02,204468.79,24,3,6.43,0
360,2024-03-12,2024-06-16,96,69186.71,51141.44,27,1,10.0,1
361,2024-02-01,2024-08-27,208,191155.44,122769.46,29,4,9.92,1
362,2023-03-18,2023-05-28,71,47190.42,29323.42,22,5,9.21,1
363,2024-02-08,2024-03-23,44,97820.26,78576.58,15,3,9.72,1
364,2024-10-12,2025-03-01,140,189850.87,114109.07,23,5,10.0,1
365,2023-05-31,2023-12-03,186,95550.92,113912.11,9,2,8.03,1
